,Kanji,Word,Meaning
0,亜,あ,1.เอเชีย 2.ตำแหน่งรอง อันดับรอง
1,ああ,ああ,"(พูดของはい),อือ,ฮือ,ใช่(โดยทั่วไปผู้ชายใช้),โอ,อา,โธ่(คำอุทานแสดงความแปลกใจหรือหมดหวัง)"
2,愛,あい,ความรัก
3,相,あい,ร่วมกัน
4,藍,あい,"ต้นครามญี่ปุ่น,เมล็ดสีกรมท่าใช้เป็นสีย้อม"
5,相合い傘・相合傘,あいあいがさ,"การแชร์ร่ม(กับคนอื่น),กางร่มคันเดียว"
6,愛育,あいいく,การเลี้ยงดูลูกด้วยความรัก
7,相容れない,あいいれない,"ขัดแย้งกัน,เข้ากันไม่ได้"
8,藍色,あいいろ,"สีน้ำเงิน,สีกรมท่า"
9,愛飲,あいいん,การดื่ม(เหล้า นม น้ำผลไม้)เป็นประจำ
10,愛飲者,あいいんしゃ,คนที่ชอบดื่ม (จนเป็นนิสัย)
11,愛液,あいえき,น้ำกาม(ไหลออกมาจากอวัยวะเพศหญิงเวลาเกิดอารมณ์)
12,愛煙家,あいえんか,"คนที่สูบบุหรี่จนเป็นนิสัย,คนที่ติดบุหรี่"
13,哀歌,あいか,เพลงไว้อาลัยผู้ตาย
14,合鍵,あいかぎ,กุญแจสำรอง
15,相変らず・相変わらず,あいかわらず,"เช่นเคย,เหมือนเดิม"
16,哀感,あいかん,"ความเศร้า,ความรู้สึกเศร้าใจ"
17,哀歓,あいかん,ความรื่นเริงและโศกเศร้า
18,娃鬟,あいかん,สาวสวย
19,哀願,あいがん,"การอ้อนวอน,การวิงวอนขอร้อง"
20,愛玩,あいがん,สัตว์เลี้ยง
21,哀願する,あいがんする,"วิงวอน,อ้อนวอน"
22,愛玩動物,あいがんどうぶつ,สัตว์เลี้ยง
23,合着,あいぎ,เสื้อผ้าในฤดูใบไม้ผลิหรือฤดูใบไม้ร่วง
24,間着,あいぎ,เสื้อผ้าในฤดูใบไม้ผลิหรือฤดูใบไม้ร่วง
25,合気道,あいきどう,ไอคิโด้
26,相客,あいきゃく,"แขกที่แชร์โต๊ะหรือห้องพักร่วมกับคนอื่น,การพักร่วมกับคนอื่นในห้องพักเดียวกัน"
27,愛嬌,あいきょう,"เสน่ห์ดึงดูด,อัธยาศัยไมตรี"
28,愛敬,あいきょう,"เสน่ห์ดึงดูด,อัธยาศัยไมตรี"
29,匕首,あいくち,"กริช,มีดสั้น"
30,合口,あいくち,"กริช,มีดสั้น,การเข้ากันได้ดี,ถูกชะตา,(คุยกัน)ถูกคอ"
31,愛くるしい,あいくるしい,"น่ารัก,น่าเอ็นดู"
32,愛犬,あいけん,คนรักสุนัข
33,愛犬家,あいけんか,คนรักสุนัข
34,愛顧,あいこ,"การอุปถัมภ์,การสนับสนุน"
35,相子,あいこ,เสมอกัน
36,愛護,あいご,การคุ้มครองหรืออนุรักษ์(สัตว์)
37,愛好,あいこう,ความชื่นชอบ(สิ่งใดสิ่งหนึ่ง)
38,愛国,あいこく,ความรักชาติ
39,愛国者,あいこくしゃ,ผู้รักชาติ
40,愛国主義,あいこくしゅぎ,ความรักชาติ
41,愛国心,あいこくしん,ความรักชาติ
42,合い言葉,あいことば,"1.พาสเวิร์ด,รหัสผ่าน,คติพจน์ 2.คำพูด หรือ คำที่รู้กันในกลุ่มนั้นๆ"
43,合言葉,あいことば,"1.พาสเวิร์ด,รหัสผ่าน,คติพจน์ 2.คำพูด หรือ คำที่รู้กันในกลุ่มนั้นๆ"
44,愛妻,あいさい,ภรรยาที่รัก
45,愛妻家,あいさいか,สามีที่รักภรรยา
46,"<a href=""/dictionary/show/82"">挨拶</a>",あいさつ,"การทักทาย,คำทักทาย "
47,哀詩,あいし,"บทกวีไว้อาลัยแด่ผู้ตาย,เพลงไว้อาลัยแด่ผู้ตาย"
48,愛児,あいじ,ลูกรัก
49,愛車,あいしゃ,รถยนต์คันโปรด
50,哀愁,あいしゅう,ความเศร้าโศกเสียใจ
51,愛書,あいしょ,(คนที่)รักการสะสมหนังสือ
52,哀傷,あいしょう,"ความเสียใจ,ความเศร้าใจ,ความระทมทุกข์,ความเศร้าโศก"
53,愛唱,あいしょう,การร้องเพลงเป็นประจำ
54,愛妾,あいしょう,"โสเภณี,คนที่ขายบริการทางเพศเพื่อเงิน"
55,愛称,あいしょう,ชื่อเล่น
56,相性,あいしょう,"การถูกชะตากัน,การเข้ากันได้"
57,愛嬢,あいじょう,ลูกสาวสุดที่รัก
58,愛情,あいじょう,ความรัก
59,愛書家,あいしょか,คนที่รักการสะสมหนังสือ
60,合い印,あいじるし,ตราประทับให้รู้ว่าเป็นภาชนะชุดเดียวกัน
61,合印,あいじるし,ตราประทับให้รู้ว่าเป็นภาชนะชุดเดียวกัน
62,愛人,あいじん,"ชู้,เมียน้อย"
63,合図,あいず,"สัญญาณ,สัญลักษณ์"
64,愛する,あいする,รัก
65,哀惜,あいせき,"ความโศกเศร้า,ความเสียใจ"
66,愛惜,あいせき,ความรักและหวงแหน
67,相席,あいせき,การแชร์หรือนั่งโต๊ะเดียวกับผู้อื่น
68,"<a href=""/dictionary/show/120"">愛想</a>",あいそ,"ความมีอัธยาศัยดี,ท่าทีเป็นมิตร,ความเอื้อเฟื้อเผื่อแผ่,การให้การต้อนรับขับสู้"
69,愛憎,あいぞう,ความรักและความเกลียด
70,愛蔵,あいぞう,เก็บเก็บรักษาไว้เป็นอย่างดี
71,愛憎併存,あいぞうへいそん,"ความไม่แน่ใจ (โดยเฉพาะในการเลือกสิ่งที่ตรงกันข้าม),ความรู้สึกร่วมที่มีทั้งที่เป็นเชิงบวกและเชิงลบต่อบุคคลอื่น"
72,愛想が尽きる,あいそがつきる,"เหลืออด,หมดความอดทน"
73,愛息,あいそく,"ลูกชายสุดที่รัก,ลูกชายคนโปรด"
74,藍染め,あいぞめ,การย้อมให้เป็นสีน้ำเงิน การย้อมคราม
75,"<a href=""/dictionary/show/129"">愛想笑い</a>",あいそわらい,"การยิ้มประจบเอาใจ,การแสร้งยิ้ม"
76,間,あいだ,"1.ระหว่าง,ท่ามกลาง,ช่วง 2.ระหว่างกลาง,ช่องกลาง"
77,相対,あいたい,"การประจันหน้า,การหันหน้าเข้าหากัน"
78,相対ずくで,あいたいずくで,เป็นที่ตกลงกันทั้งสองฝ่าย
79,間柄,あいだがら,"1.ความสัมพันธ์ที่เกี่ยวกัน (ทางสายเลือดหรือญาติพี่น้อง) 2.ความสนิทสนม,ความสัมพันธ์"
80,愛他主義,あいたしゅぎ,เห็นแก่ประโยชน์คนอื่น
81,愛他主義者,あいたしゅぎしゃ,ผู้เห็นแก่ประโยชน์คนอื่นเป็นที่ตั้งไม่เห็นแก่ประโยชน์ตนเอง
82,愛知,あいち,จังหวัดไอจิ
83,愛知県,あいちけん,จังหวัดไอจิ
84,愛着,あいちゃく,ความรู้สึกผูกพัน
85,哀調,あいちょう,น้ำเสียงเศร้าโศก
86,愛鳥家,あいちょうか,คนรักนก
87,彼奴,あいつ,"ไอ้หมอนั่น,ยัยนั่น,อันนั้น"
88,相次いで,あいついで,อย่างต่อเนื่อง
89,"<a href=""/dictionary/show/144"">相次ぐ</a>",あいつぐ,"เกิดติด ๆ กัน,ตามมาเป็นลำดับ,เกิดต่อเนื่อง"
90,相槌,あいづち,การพูดตอบเป็นช่วง ๆ ตอนคุยกับคนอื่น
91,相槌を打つ,あいづちをうつ,พูดหรือพยักหน้าเป็นช่วง ๆ เพื่อแสดงให้เห็นว่ากำลังฟังอีกฝ่ายพูดอยู่
92,"<a href=""/dictionary/show/147"">相手</a>",あいて,"อีกฝ่ายหนึ่ง,คู่กรณี,คู่สนทนา,ฝ่ายตรงข้าม,ผู้ร่วมงาน"
93,空いている,あいている,ว่าง
94,相手方,あいてかた,คู่กรณี
95,相手方,あいてがた,คู่กรณี
96,相弟子,あいでし,ศิษย์ร่วมสำนักเดียวกัน (อาจารย์เดียวกัน)
97,相手取る,あいてどる,"ต่อกรด้วย,เอาเป็นคู่ต่อสู้"
98,哀悼,あいとう,ความโศกเศร้าอาลัย
99,愛読,あいどく,การอ่านเป็นประจำ
100,愛読者,あいどくしゃ,"คนที่อ่านเป็นประจำ,คนที่รักการอ่าน"
101,相半ば,あいなかば,"(โอกาส) ครึ่ง ๆ,50:50"
102,相半ばする,あいなかばする,"(โอกาส) ครึ่ง ๆ, 50:50"
103,生憎な,あいにくな,"โชคร้าย,โชคไม่ดี"
104,合の子,あいのこ,ลูกครึ่ง
105,間の子,あいのこ,ลูกครึ่ง
106,愛の力,あいのちから,พลังรัก
107,合の手,あいのて,"ดนตรีคั่นระหว่างเพลงแบบโบราณของญี่ปุ่น,เสียงร้องหรือปรบมือตามจังหวะเพลง,คำพูดสอดแทรกเป็นช่วง ๆ"
108,相の手,あいのて,"ดนตรีคั่นระหว่างเพลงแบบโบราณของญี่ปุ่น,เสียงร้องหรือปรบมือตามจังหวะเพลง,คำพูดสอดแทรกเป็นช่วง ๆ"
109,間の手,あいのて,"ดนตรีคั่นระหว่างเพลงแบบโบราณของญี่ปุ่น,เสียงร้องหรือปรบมือตามจังหวะเพลง,คำพูดสอดแทรกเป็นช่วง ๆ"
110,相乗り,あいのり,1.การนั่งรถไปด้วยกัน (กับคนไม่รู้จัก) 2. การเข้าร่วมทำธุรกิจด้วยกันกับธุรกิจที่กำลังไปได้สวยอยู่ 3.การที่พรรครัฐบาล และ ฝ่ายค้านสนับสนุนผู้สมัครรับเลือกตั้งคนเดียวกันในการเลือกตั้งท้องถิ่น หรือ เลือกตั้งย่อยทั่วไป หัวหน้าหมู่บ้านเป็นต้น
111,愛馬,あいば,ม้าตัวโปรด
112,合判,あいばん,(กระดาษ)ขนาดประมาณ 15 x 21 ซม.
113,間判,あいばん,(กระดาษ)ขนาดประมาณ 15 x 21 ซม.
114,相反する,あいはんする,"ขัดกัน,ไม่ลงรอยกัน,เข้ากันไม่ได้"
115,愛撫,あいぶ,"การกอดจูบ,การลูบคลำ,การเล้าโลม"
116,相部屋,あいべや,1.การพักร่วมห้อง (กับคนที่ไม่รู้จัก) 2.ห้องรวม เช่น ในโรงพยาบาล หรือ ในร้านคาราโอเกะ
117,愛慕,あいぼ,"หลงรัก,ทั้งรักทั้งหลง"
118,相棒,あいぼう,"คนสมรู้ร่วมคิด,หุ้นส่วน"
119,相星,あいぼし,คะแนนรวมเท่ากัน (กีฬา)
120,合間,あいま,"ยามว่าง,ช่วงที่ว่าง(จากงาน)"
121,曖昧,あいまい,"คลุมเครือ,กำกวม"
122,曖昧さ,あいまいさ,"ความหมายที่คลุมเครือ,คำพูดที่คลุมเครือ"
123,相まって,あいまって,อาศัย (2 สิ่ง) ประกอบกัน
124,相俟って,あいまって,อาศัย (2 สิ่ง) ประกอบกัน
125,相身互,あいみたがい,การช่วยเหลือกันตามประสาพวกเดียวกัน
126,相身互い,あいみたがい,การช่วยเหลือกันตามประสาพวกเดียวกัน
127,相見積り,あいみつもり,การเปรียบเทียบใบเสนอราคาก่อนซื้อ
128,相役,あいやく,"ผู้ร่วมงาน,เพื่อนร่วมงาน"
129,相宿,あいやど,การพักค้างคืนที่เดียวกัน (กับผู้อื่น)
130,愛用,あいよう,การใช้เป็นประจำ (เนื่องจากคิดว่าดี)
131,愛慾,あいよく,"กาม,ตัณหาราคะ"
132,愛欲,あいよく,"กาม,ตัณหาราคะ ความไคร่"
133,哀楽,あいらく,ความเศร้าและความสนุก
134,愛らしい,あいらしい,น่ารัก
