,Kanji,Word,Meaning
0,縁起がいい,えんぎがいい,"เป็นมงคล,ฤกษ์ดี"
1,英邁・英まい,えいまい,สติปัญญาเป็นเลิศ
2,えら,エラ,1.เหงือก 2.กราม
3,柄,え,"ด้าม,ที่จับ"
4,江,え,อ่าวเล็ก ๆ
5,絵,え,รูปวาด
6,えい,えい,ปลากระเบน
7,鋭意,えいい,"อย่างเต็มที่,อย่างสุดกำลัง"
8,影印,えいいん,การพิมพ์โดยถ่ายภาพต้นฉบับเดิม
9,営々,えいえい,อย่างขยันขันแข็ง
10,永遠,えいえん,"นิรันดร์,ตลอดกาล,ชั่วกัลปาวสาน"
11,英貨,えいか,เงินตราของอังกฤษ
12,"<a href=""/dictionary/show/3355"">映画</a>",えいが,"ภาพยนตร์,หนัง"
13,英会話,えいかいわ,การสนทนาด้วยภาษาอังกฤษ
14,映画化,えいがか,การนำไปสร้างเป็นภาพยนตร์
15,映画館,えいがかん,โรงภาพยนตร์
16,映画鑑賞,えいがかんしょう,การดูหนัง
17,映画鑑賞する,えいがかんしょうする,ชมภาพยนตร์
18,映画監督,えいがかんとく,ผู้กำกับภาพยนตร์
19,鋭角,えいかく,มุมแหลม
20,鋭角三角形,えいかくさんかくけい,สามเหลี่ยมมุมแหลม
21,映画倫理規定委員会,えいがりんりきていいいんかい,คณะกรรมการพิจารณาภาพยนตร์
22,栄冠,えいかん,"เกียรติยศ,มงกุฏแห่งชัยชนะ"
23,英気,えいき,"ความหลักแหลม,ปราดเปรื่อง,กำลังใจ"
24,鋭気,えいき,"ความหึกเหิม,ความองอาจ"
25,永久,えいきゅう,"ถาวร,ตลอดกาล"
26,永久的,えいきゅうてき,แบบถาวร
27,"<a href=""/dictionary/show/3370"">影響</a>",えいきょう,"ผลกระทบ,อิทธิพล,กระทบกระเทือนต่อ,มีผลให้"
28,営業,えいぎょう,"1.การดำเนินธุรกิจ,การบริหารการตลาด 2.การเปิดทำการของร้านค้า 3.งานขาย,งานเซลล์"
29,営業案内,えいぎょうあんない,หนังสือแนะนำบริษัท
30,営業時間,えいぎょうじかん,เวลาทำการ
31,営業所,えいぎょうしょ,สำนักงานขาย สาขาของบริษัท
32,影響する,えいきょうする,อิทธิพล
33,営業中,えいぎょうちゅう,เปิดบริการ
34,営業部,えいぎょうぶ,ฝ่ายขาย
35,営業マン,えいぎょうマン,"พนักงานขาย,เซลส์แมน"
36,影響をうける,えいきょうをうける,ได้รับอิทธิพล
37,永訣,えいけつ,"ตายจากไป,จากกันชั่วนิรันดร์"
38,英傑,えいけつ,วีรบุรุษ
39,"<a href=""/dictionary/show/3382"">英語</a>",えいご,ภาษาอังกฤษ
40,曳航,えいこう,"พ่วง(เรือ),ลากโยง"
41,栄光,えいこう,"เกียรติศักดิ์,เกียรติภูมิ"
42,永劫,えいごう,ชั่วนิรันดร
43,英国,えいこく,"สหราชอาณาจักร,อังกฤษ"
44,"<a href=""/dictionary/show/3387"">栄枯盛衰</a>",えいこせいすい,ความรุ่งโรจน์และการล่มสลาย
