,Kanji,Word,Meaning
0,井,い,บ่อน้ำ
1,亥,い,ปีกุน (ใน 12 นักษัตร)
2,以,い,"นับแต่,โดย"
3,位,い,ลำดับที่
4,依,い,"ขึ้นอยู่กับ,พึ่งพาอาศัย,เช่นเคย"
5,偉,い,"ยิ่งใหญ่,ใหญ่โต,เด่นดัง,ยอดเยี่ยม"
6,医,い,"แพทย์,การรักษา"
7,威,い,อำนาจ
8,意,い,"ความรู้สึก,ความหมาย"
9,為,い,"เพื่อ,กระทำ"
10,異,い,เสียงคัดค้าน
11,胃,い,"ท้อง,กระเพาะอาหาร"
12,遺,い,เหลือทิ้งไว้
13,遺愛,いあい,ของรักของผู้ตาย
14,威圧,いあつ,การข่มขู่ การทำให้เกรงขาม
15,居合わせる,いあわせる,เผอิญอยู่ในที่นั้น
16,慰安,いあん,การตอบแทนความเหนื่อยยากด้วยการพาไปเที่ยว
17,唯々,いい,อย่างว่าง่าย
18,良い,いい,ดี
19,言い合う,いいあう,"พูดกัน,ถกเถียงกัน"
20,言合う,いいあう,"พูดกัน,ถกเถียงกัน"
21,言い当てる,いいあてる,"ทายถูก,เดาถูก"
22,言い誤る,いいあやまる,พูดผิด
23,言い争う,いいあらそう,โต้เถียงกัน
24,言い表す,いいあらわす,อธิบายเป็นคำพูด
25,言い合わせる,いいあわせる,นัดแนะกันไว้ก่อน
26,いいえ,いいえ,"ไม่ใช่,เปล่า"
27,否,いいえ,"ไม่ใช่,เปล่า"
28,言い置く,いいおく,ฝากข้อความไว้
29,言い送る,いいおくる,"ฝากบอก,ฝากข้อความถึง"
30,言い落とす,いいおとす,"พูดตก,พูดขาด"
31,言い及ぶ,いいおよぶ,กล่าวพาดพิงถึง
32,言い甲斐,いいがい,มีค่าควรแก่การพูดถึง
33,言い返す,いいかえす,ตอบกลับ
34,言い換える,いいかえる,การเปลี่ยนวิธีการพูด
35,好い顔,いいかお,เจ้าถิ่น
36,言い掛かり・言いがかり,いいがかり,"หาเรื่อง,(ยัดเยียด)ข้อหา"
37,"<a href=""/dictionary/show/1458"">言い掛ける・言いかける</a>",いいかける,"1.ทำท่าจะพูด,จะพูดแล้วไม่พูด 2.สาดคำพูดใส่ 3.หาเรื่อง,ชวนทะเลาะ 4.เล่นคำ (ในการประพันธ์กลอน หรือ ไฮกุ)"
