,Kanji,Word,Meaning
0,折れない魂,おれないたましい,จิตวิญญาณเลือดนักสู้ 
1,横逸,おういつ,ทำตามอำเภอใจ ทำตามใจชอบ
2,尾,お,"หาง,ทางคอดลาดลงบริเวณเชิงเขา"
3,緒,お,"สาย(ของเครื่องสาย),เชือกผูกรองเท้า,ด้าย,เส้น"
4,甥,おい,หลานชาย (ของญาติพี่น้อง)
5,追い返す,おいかえす,"ไล่กลับไป,ตีถอยร่นไป"
6,追いかける,おいかける,ไล่ตาม
7,追い掛ける,おいかける,ไล่ตาม
8,追い風・追風,おいかぜ,"1.ลมที่พัดส่งในทิศที่กำลังมุ่งหน้าไป,ตามลม,บินตามทิศทางลม 2.แรงเสริม ตัวซับพอรท์(ให้ทำสิ่งนั้นๆได้ง่ายขึ้น)"
9,追越禁止,おいこしきんし,ห้ามแซง
10,追い越す,おいこす,แซงขึ้นหน้า
11,追い込む,おいこむ,"ไล่ต้อนเข้าไป,ไล่ให้จนตรอก,สู้ยกสุดท้าย,พิมพ์ต่อโดยไม่ย่อหน้าใหม่"
12,美味しい,おいしい,อร่อย
13,"<a href=""/dictionary/show/3841"">お医者さん</a>",おいしゃさん,คุณหมอ(เป็นทางการ)
14,追証,おいしょう,เงินค้ำประกันที่เก็บเพิ่มเมื่อตลาดเปลี่ยนแปลง
15,追い出す,おいだす,"ไล่ออก,ขับออก"
16,生い立ち,おいたち,"การเจริญเติบโต,ชีวิตในวัยเด็ก"
17,追い付く,おいつく,"ไล่ทัน,ตามทัน"
18,於いて,おいて,"ณ ใน(เวลาหรือสถานที่),สำหรับ(กรณีนี้),เกี่ยวกับ"
19,お出で,おいで,"ไป,มา,อยู่ (ใช้เป็นคำยกย่อง)"
20,追い抜く,おいぬく,"แซง,แซงหน้า"
21,追い払う,おいはらう,"ขับไล่,ปัดเป่า,ไล่ออก"
22,老いる,おいる,แก่ตัวลง
23,お祝い,おいわい,"การแสดงความยินดี,ของขวัญแสดงความยินดี"
